Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
365345,2015,8,23,SWA,SOUTHWEST AIRLINES,B-737-700,A,148,42,4,10,1,2,D,1,1,,,KOMA,EPPLEY AIRFIELD,NE,ACE,N,APPROACH,DAY,NONE,1000,145,3,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
365347,2015,8,23,SWA,SOUTHWEST AIRLINES,B-737-700,A,148,42,4,10,1,2,D,1,1,,,KMDW,CHICAGO MIDWAY INTL ARPT,IL,AGL,,APPROACH,DAY,NONE,2500,210,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365348,2015,8,23,TPA,AVIANCA CARGO,A-330,A,04A,4,4,37,55,2,D,1,1,,,KMIA,MIAMI INTL,FL,ASO,N,CLIMB,DAY,NONE,800,150,,UNKBB,UNKNOWN BIRD OR BAT,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365349,2015,8,23,UAL,UNITED AIRLINES,B-757-200,A,148,26,4,37,37,2,D,1,1,,,KIAD,WASHINGTON DULLES INTL ARPT,DC,AEA,,APPROACH,DAY,NONE,,,0,YI,SWALLOW,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365484,2015,8,23,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KONT,ONTARIO INTL ARPT,CA,AWP,,,,,,,0,O2205,MOURNING DOVE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365329,2015,8,23,AAL,AMERICAN AIRLINES,MD-82,A,583,37,4,34,10,2,D,5,5,,,KRDU,RALEIGH-DURHAM INTL,NC,ASO,Y,APPROACH,NIGHT,NONE,50,135,0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365328,2015,8,23,AAL,AMERICAN AIRLINES,A-320,A,04A,3,4,10,1,2,D,1,1,,,KRSW,SOUTHWEST FLORIDA INTL ARPT,FL,ASO,Y,APPROACH,,NONE,2500,160,6,I1301,CATTLE EGRET,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365676,2015,8,23,TCF,SHUTTLE AMERICA,EMB-170,A,332,,4,22,4,2,D,1,1,,,KORD,CHICAGO O'HARE INTL ARPT,IL,AGL,,LANDING ROLL,DAY,,0,,0,YI005,BARN SWALLOW,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365483,2015,8,23,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMFE,MC ALLEN MILLER INTL,TX,ASW,,,,,,,0,O2205,MOURNING DOVE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365482,2015,8,23,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KMCI,KANSAS CITY INTL,MO,ACE,,,,,,,0,N5111,KILLDEER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365336,2015,8,23,FLG,ENDEAVOR AIR,CRJ900,A,188,17,4,22,4,2,D,5,5,,,KPIT,PITTSBURGH INTL ARPT,PA,AEA,Y,LANDING ROLL,DAY,NONE,0,80,0,N5111,KILLDEER,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365350,2015,8,23,UPS,UPS AIRLINES,B-767-300,A,148,97,4,22,7,2,D,1,1,,,ZGSZ,SHENZHEN BAOAN INTL ARPT,,FGN,N,APPROACH,NIGHT,,1800,155,6,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
364721,2015,8,23,PHM,PHI INC,BELL-407,B,128,11,2,1,1,1,F,6,,,,ZZZZ,UNKNOWN,,,,EN ROUTE,DAY,NONE,600,90,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
365337,2015,8,23,ENY,ENVOY AIR,CL-600,A,188,6,3,22,4,2,D,5,5,,,KXNA,NW ARKANSAS REGIONAL,AR,ASW,N,DESCENT,DAY,NONE,,,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
365330,2015,8,23,UCA,COMMUTAIR,DHC8 DASH 8,A,303,10,3,31,10,2,C,4,4,,,KITH,ITHICA TOMPKINS REGIONAL ARPT,NY,AEA,N,APPROACH,NIGHT,NONE,6000,230,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365338,2015,8,23,ENY,ENVOY AIR,EMB-145,A,332,14,3,1,10,2,D,5,5,,,KLSE,LA CROSSE MUNICIPAL AIRPORT,WI,AGL,,TAKEOFF RUN,DAY,NONE,0,,0,UNKBB,UNKNOWN BIRD OR BAT,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365339,2015,8,23,ASQ,EXPRESSJET AIRLINES,EMB-145,A,332,14,3,1,10,2,D,5,5,,,KPWM,PORTLAND INTL JETPORT (ME),ME,ANE,,TAKEOFF RUN,DAY,NONE,0,,0,YM11,CROW,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
365340,2015,8,23,ASQ,EXPRESSJET AIRLINES,CRJ700,A,188,16,4,22,4,2,D,5,5,,,KHRL,VALLEY INTL,TX,ASW,N,TAKEOFF RUN,DAY,NONE,0,,0,YI009,CLIFF SWALLOW,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365341,2015,8,23,BUS,BUSINESS,CESSNA,A,226,0,,46,1,,,,,,,KMKC,CHARLES B WHEELER DOWNTOWN ARPT,MO,ACE,Y,,DAY,NONE,5,,0,K5114,AMERICAN KESTREL,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
365342,2015,8,23,LAN,LAN AIRLINES,B-767,A,148,98,4,22,7,2,D,1,1,,,KMIA,MIAMI INTL,FL,ASO,,TAKEOFF RUN,DAY,,0,145,0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365343,2015,8,23,BUS,BUSINESS,GULFAERO IV,A,421,4,4,37,46,2,D,5,5,,,KOMA,EPPLEY AIRFIELD,NE,ACE,Y,CLIMB,DAY,NONE,100,150,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365344,2015,8,23,SKW,SKYWEST AIRLINES,CRJ100/200,A,188,10,3,22,4,2,D,5,5,,,KGFK,GRAND FORKS INTL,ND,AGL,Y,APPROACH,DAY,NONE,50,,0,NE112,FRANKLIN'S GULL,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
